파일명/유사도(%),샘플 #211023 #라이딩 #기변완료 #도그마길들이기 #날이춥당.txt,"샘플 '드래곤즈 도그마'는 캡콤에서 제작해 2012년 PS3, XB360으로 발매된 액션RPG입니다. 2013년에는 '다크 어리즌'이란 추가 컨텐츠 합본판이 발매되었으며, 2016년 PC로 발매, 2017년에는 리마스터가 PS4, XBO으로 발매되었습니다..txt",샘플 [게임리뷰] 드래곤즈 도그마 (Dragons Dogma)  스카이림 + 몬헌 + 다크소울 + 디아블로.txt,샘플 [경태네 입고 피나렐로 도그마 F12 림브레이크 버젼 보유물량 프로모션 안내.txt,샘플 [넷플릭스 오리지널 애니] 드래곤즈 도그마 1~7화 완결. 게임원작의 게임에 대한 이해을 돕기위한 작품 수준 (2020년).txt,샘플 [조립출고] 피나렐로 도그마 F12 + Sram Force AXS 조립 출고 .txt,샘플 넷플릭스 애니 - 드래곤즈 도그마 감상 후기.txt,"샘플 논리를 크게 두 종류로 나누면, 전통의 아리스토텔레스 논리인 ‘A형 논리(또는 아형 논리)’와 ‘E형 논리(또는 에형 논리)‘가 있다..txt",샘플 도그마 F12 VS 에스웍스 타막 SL7. #2.txt,샘플 드디어 가벼워진 도그마F 실측무게! 피나렐로 Dogma F F12F10F8 Pinarello 프레임셋.txt,샘플 모든 자덕이 기다려왔던 피나렐로의 신모델  도그마 F(DOGMA F) .txt,샘플 피나렐로 도그마F12 빌드(조립) 작업 후기 - 화성동탄 자전거 빌드 전문샵 미스터바이크.txt,샘플 피나렐로 신형 도그마 F 발표.txt,샘플 피나렐로 하우스의 도그마 F 프리뷰.txt
샘플 #211023 #라이딩 #기변완료 #도그마길들이기 #날이춥당.txt,100.0,3.6999999999999997,3.6999999999999997,8.1,2.1999999999999997,10.100000000000001,4.2,0.8,12.0,8.4,8.3,4.2,7.7,11.700000000000001
"샘플 '드래곤즈 도그마'는 캡콤에서 제작해 2012년 PS3, XB360으로 발매된 액션RPG입니다. 2013년에는 '다크 어리즌'이란 추가 컨텐츠 합본판이 발매되었으며, 2016년 PC로 발매, 2017년에는 리마스터가 PS4, XBO으로 발매되었습니다..txt",3.6999999999999997,100.0,41.9,6.5,22.3,9.8,19.400000000000002,2.9000000000000004,7.3,5.6000000000000005,7.9,3.3000000000000003,6.0,8.799999999999999
샘플 [게임리뷰] 드래곤즈 도그마 (Dragons Dogma)  스카이림 + 몬헌 + 다크소울 + 디아블로.txt,3.6999999999999997,41.9,100.0,4.5,32.4,5.6000000000000005,23.9,2.0,6.0,4.8,8.4,5.4,5.8999999999999995,6.3
샘플 [경태네 입고 피나렐로 도그마 F12 림브레이크 버젼 보유물량 프로모션 안내.txt,8.1,6.5,4.5,100.0,2.3,17.1,4.2,1.9,5.8999999999999995,7.5,19.1,9.3,21.0,19.900000000000002
샘플 [넷플릭스 오리지널 애니] 드래곤즈 도그마 1~7화 완결. 게임원작의 게임에 대한 이해을 돕기위한 작품 수준 (2020년).txt,2.1999999999999997,22.3,32.4,2.3,100.0,3.2,26.8,1.2,4.6,2.6,3.5000000000000004,3.5999999999999996,2.1,3.9
샘플 [조립출고] 피나렐로 도그마 F12 + Sram Force AXS 조립 출고 .txt,10.100000000000001,9.8,5.6000000000000005,17.1,3.2,100.0,5.800000000000001,2.7,12.7,13.8,21.7,9.5,17.9,27.900000000000002
샘플 넷플릭스 애니 - 드래곤즈 도그마 감상 후기.txt,4.2,19.400000000000002,23.9,4.2,26.8,5.800000000000001,100.0,4.3,6.1,4.3999999999999995,6.4,4.8,3.8,5.800000000000001
"샘플 논리를 크게 두 종류로 나누면, 전통의 아리스토텔레스 논리인 ‘A형 논리(또는 아형 논리)’와 ‘E형 논리(또는 에형 논리)‘가 있다..txt",0.8,2.9000000000000004,2.0,1.9,1.2,2.7,4.3,100.0,2.9000000000000004,2.3,2.5,1.5,2.1999999999999997,3.6999999999999997
샘플 도그마 F12 VS 에스웍스 타막 SL7. #2.txt,12.0,7.3,6.0,5.8999999999999995,4.6,12.7,6.1,2.9000000000000004,100.0,7.5,11.899999999999999,4.3,9.1,14.000000000000002
샘플 드디어 가벼워진 도그마F 실측무게! 피나렐로 Dogma F F12F10F8 Pinarello 프레임셋.txt,8.4,5.6000000000000005,4.8,7.5,2.6,13.8,4.3999999999999995,2.3,7.5,100.0,18.9,5.4,16.400000000000002,30.4
샘플 모든 자덕이 기다려왔던 피나렐로의 신모델  도그마 F(DOGMA F) .txt,8.3,7.9,8.4,19.1,3.5000000000000004,21.7,6.4,2.5,11.899999999999999,18.9,100.0,7.3999999999999995,30.5,31.2
샘플 피나렐로 도그마F12 빌드(조립) 작업 후기 - 화성동탄 자전거 빌드 전문샵 미스터바이크.txt,4.2,3.3000000000000003,5.4,9.3,3.5999999999999996,9.5,4.8,1.5,4.3,5.4,7.3999999999999995,100.0,13.0,12.4
샘플 피나렐로 신형 도그마 F 발표.txt,7.7,6.0,5.8999999999999995,21.0,2.1,17.9,3.8,2.1999999999999997,9.1,16.400000000000002,30.5,13.0,100.0,35.3
샘플 피나렐로 하우스의 도그마 F 프리뷰.txt,11.700000000000001,8.799999999999999,6.3,19.900000000000002,3.9,27.900000000000002,5.800000000000001,3.6999999999999997,14.000000000000002,30.4,31.2,12.4,35.3,100.0
