파일명/유사도(%),검수 부개역치과.txt,URL.txt,샘플 .txt,샘플 1.txt,샘플 10.txt,샘플 11.txt,샘플 12.txt,샘플 13.txt,샘플 14.txt,샘플 2.txt,샘플 3.txt,샘플 4.txt,샘플 5.txt,샘플 6.txt,샘플 7.txt,샘플 8.txt,샘플 9.txt,샘플 다들 누운사랑니발치라는 말을 들으면 복잡하다는 생각이 먼저 드실 겁니다.txt,샘플 부개역치과 내외부적인 문제들을 확실하게.txt,샘플 부개역치과 사랑니 당일 발치 할 수 있는 곳.txt,샘플 부개역치과 세심한 진단으로.txt,샘플 부개역치과 스케일링 잇몸 건강을.txt,샘플 부개역치과 스케일링으로 충치 잇몸병 예방하자.txt,샘플 부개역치과 양심 진료가 이루어지는 곳은.txt,샘플 부개역치과 임플란트 절개에 대한 부담을 줄이다.txt,샘플 부개역치과 임플란트로 만족감을 높이고.txt,샘플 부개역치과 전악임플란트 10년 이상 한 자리를 지켜온 곳.txt,샘플 부개역치과 치주염환자 엑스레이 이렇게 달라요 잇몸무너짐.txt,샘플 안녕하세요 보건복지부 인증 교정과 전문의 대표 원장님께서 상주하고 있는 바른이예쁜이치과입니다.txt
검수 부개역치과.txt,100.0,1.6,17.599999999999998,26.1,13.700000000000001,21.3,17.599999999999998,27.0,9.3,15.299999999999999,31.8,10.100000000000001,22.900000000000002,29.599999999999998,11.0,15.299999999999999,11.5,10.100000000000001,13.700000000000001,9.3,31.8,15.299999999999999,11.5,21.3,29.599999999999998,27.0,26.1,11.0,15.299999999999999
URL.txt,1.6,100.0,3.3000000000000003,2.1999999999999997,3.4000000000000004,2.6,3.3000000000000003,2.6,3.1,4.2,2.6,2.7,4.2,3.6999999999999997,3.3000000000000003,1.9,2.1,2.7,3.4000000000000004,3.1,2.6,4.2,2.1,2.6,3.6999999999999997,2.6,2.1999999999999997,3.3000000000000003,1.9
샘플 .txt,17.599999999999998,3.3000000000000003,100.0,17.599999999999998,20.1,23.3,100.0,23.1,11.1,22.7,22.900000000000002,14.099999999999998,14.099999999999998,18.9,16.900000000000002,28.4,16.3,14.099999999999998,20.1,11.1,22.900000000000002,22.7,16.3,23.3,18.9,23.1,17.599999999999998,16.900000000000002,28.4
샘플 1.txt,26.1,2.1999999999999997,17.599999999999998,100.0,18.9,18.5,17.599999999999998,33.7,10.9,18.3,32.4,13.5,35.3,25.6,18.4,14.000000000000002,19.1,13.5,18.9,10.9,32.4,18.3,19.1,18.5,25.6,33.7,100.0,18.4,14.000000000000002
샘플 10.txt,13.700000000000001,3.4000000000000004,20.1,18.9,100.0,13.600000000000001,20.1,30.5,11.4,16.7,28.4,13.700000000000001,18.6,18.2,20.0,11.899999999999999,20.1,13.700000000000001,100.0,11.4,28.4,16.7,20.1,13.600000000000001,18.2,30.5,18.9,20.0,11.899999999999999
샘플 11.txt,21.3,2.6,23.3,18.5,13.600000000000001,100.0,23.3,15.8,13.200000000000001,23.799999999999997,18.5,12.7,17.8,16.7,16.900000000000002,20.1,22.5,12.7,13.600000000000001,13.200000000000001,18.5,23.799999999999997,22.5,100.0,16.7,15.8,18.5,16.900000000000002,20.1
샘플 12.txt,17.599999999999998,3.3000000000000003,100.0,17.599999999999998,20.1,23.3,100.0,23.1,11.1,22.7,22.900000000000002,14.099999999999998,14.099999999999998,18.9,16.900000000000002,28.4,16.3,14.099999999999998,20.1,11.1,22.900000000000002,22.7,16.3,23.3,18.9,23.1,17.599999999999998,16.900000000000002,28.4
샘플 13.txt,27.0,2.6,23.1,33.7,30.5,15.8,23.1,100.0,11.3,23.799999999999997,46.400000000000006,14.000000000000002,25.8,24.4,27.500000000000004,15.0,26.5,14.000000000000002,30.5,11.3,46.400000000000006,23.799999999999997,26.5,15.8,24.4,100.0,33.7,27.500000000000004,15.0
샘플 14.txt,9.3,3.1,11.1,10.9,11.4,13.200000000000001,11.1,11.3,100.0,12.7,12.6,30.4,16.1,14.6,11.5,10.100000000000001,13.200000000000001,30.4,11.4,100.0,12.6,12.7,13.200000000000001,13.200000000000001,14.6,11.3,10.9,11.5,10.100000000000001
샘플 2.txt,15.299999999999999,4.2,22.7,18.3,16.7,23.799999999999997,22.7,23.799999999999997,12.7,100.0,22.0,13.5,17.599999999999998,17.4,27.3,16.0,40.400000000000006,13.5,16.7,12.7,22.0,100.0,40.400000000000006,23.799999999999997,17.4,23.799999999999997,18.3,27.3,16.0
샘플 3.txt,31.8,2.6,22.900000000000002,32.4,28.4,18.5,22.900000000000002,46.400000000000006,12.6,22.0,100.0,13.5,29.299999999999997,26.5,20.4,13.5,19.6,13.5,28.4,12.6,100.0,22.0,19.6,18.5,26.5,46.400000000000006,32.4,20.4,13.5
샘플 4.txt,10.100000000000001,2.7,14.099999999999998,13.5,13.700000000000001,12.7,14.099999999999998,14.000000000000002,30.4,13.5,13.5,100.0,15.7,14.099999999999998,11.899999999999999,10.2,11.700000000000001,100.0,13.700000000000001,30.4,13.5,13.5,11.700000000000001,12.7,14.099999999999998,14.000000000000002,13.5,11.899999999999999,10.2
샘플 5.txt,22.900000000000002,4.2,14.099999999999998,35.3,18.6,17.8,14.099999999999998,25.8,16.1,17.599999999999998,29.299999999999997,15.7,100.0,24.099999999999998,15.0,14.2,15.2,15.7,18.6,16.1,29.299999999999997,17.599999999999998,15.2,17.8,24.099999999999998,25.8,35.3,15.0,14.2
샘플 6.txt,29.599999999999998,3.6999999999999997,18.9,25.6,18.2,16.7,18.9,24.4,14.6,17.4,26.5,14.099999999999998,24.099999999999998,100.0,14.2,10.4,12.5,14.099999999999998,18.2,14.6,26.5,17.4,12.5,16.7,100.0,24.4,25.6,14.2,10.4
샘플 7.txt,11.0,3.3000000000000003,16.900000000000002,18.4,20.0,16.900000000000002,16.900000000000002,27.500000000000004,11.5,27.3,20.4,11.899999999999999,15.0,14.2,100.0,13.700000000000001,26.700000000000003,11.899999999999999,20.0,11.5,20.4,27.3,26.700000000000003,16.900000000000002,14.2,27.500000000000004,18.4,100.0,13.700000000000001
샘플 8.txt,15.299999999999999,1.9,28.4,14.000000000000002,11.899999999999999,20.1,28.4,15.0,10.100000000000001,16.0,13.5,10.2,14.2,10.4,13.700000000000001,100.0,13.4,10.2,11.899999999999999,10.100000000000001,13.5,16.0,13.4,20.1,10.4,15.0,14.000000000000002,13.700000000000001,100.0
샘플 9.txt,11.5,2.1,16.3,19.1,20.1,22.5,16.3,26.5,13.200000000000001,40.400000000000006,19.6,11.700000000000001,15.2,12.5,26.700000000000003,13.4,100.0,11.700000000000001,20.1,13.200000000000001,19.6,40.400000000000006,100.0,22.5,12.5,26.5,19.1,26.700000000000003,13.4
샘플 다들 누운사랑니발치라는 말을 들으면 복잡하다는 생각이 먼저 드실 겁니다.txt,10.100000000000001,2.7,14.099999999999998,13.5,13.700000000000001,12.7,14.099999999999998,14.000000000000002,30.4,13.5,13.5,100.0,15.7,14.099999999999998,11.899999999999999,10.2,11.700000000000001,100.0,13.700000000000001,30.4,13.5,13.5,11.700000000000001,12.7,14.099999999999998,14.000000000000002,13.5,11.899999999999999,10.2
샘플 부개역치과 내외부적인 문제들을 확실하게.txt,13.700000000000001,3.4000000000000004,20.1,18.9,100.0,13.600000000000001,20.1,30.5,11.4,16.7,28.4,13.700000000000001,18.6,18.2,20.0,11.899999999999999,20.1,13.700000000000001,100.0,11.4,28.4,16.7,20.1,13.600000000000001,18.2,30.5,18.9,20.0,11.899999999999999
샘플 부개역치과 사랑니 당일 발치 할 수 있는 곳.txt,9.3,3.1,11.1,10.9,11.4,13.200000000000001,11.1,11.3,100.0,12.7,12.6,30.4,16.1,14.6,11.5,10.100000000000001,13.200000000000001,30.4,11.4,100.0,12.6,12.7,13.200000000000001,13.200000000000001,14.6,11.3,10.9,11.5,10.100000000000001
샘플 부개역치과 세심한 진단으로.txt,31.8,2.6,22.900000000000002,32.4,28.4,18.5,22.900000000000002,46.400000000000006,12.6,22.0,100.0,13.5,29.299999999999997,26.5,20.4,13.5,19.6,13.5,28.4,12.6,100.0,22.0,19.6,18.5,26.5,46.400000000000006,32.4,20.4,13.5
샘플 부개역치과 스케일링 잇몸 건강을.txt,15.299999999999999,4.2,22.7,18.3,16.7,23.799999999999997,22.7,23.799999999999997,12.7,100.0,22.0,13.5,17.599999999999998,17.4,27.3,16.0,40.400000000000006,13.5,16.7,12.7,22.0,100.0,40.400000000000006,23.799999999999997,17.4,23.799999999999997,18.3,27.3,16.0
샘플 부개역치과 스케일링으로 충치 잇몸병 예방하자.txt,11.5,2.1,16.3,19.1,20.1,22.5,16.3,26.5,13.200000000000001,40.400000000000006,19.6,11.700000000000001,15.2,12.5,26.700000000000003,13.4,100.0,11.700000000000001,20.1,13.200000000000001,19.6,40.400000000000006,100.0,22.5,12.5,26.5,19.1,26.700000000000003,13.4
샘플 부개역치과 양심 진료가 이루어지는 곳은.txt,21.3,2.6,23.3,18.5,13.600000000000001,100.0,23.3,15.8,13.200000000000001,23.799999999999997,18.5,12.7,17.8,16.7,16.900000000000002,20.1,22.5,12.7,13.600000000000001,13.200000000000001,18.5,23.799999999999997,22.5,100.0,16.7,15.8,18.5,16.900000000000002,20.1
샘플 부개역치과 임플란트 절개에 대한 부담을 줄이다.txt,29.599999999999998,3.6999999999999997,18.9,25.6,18.2,16.7,18.9,24.4,14.6,17.4,26.5,14.099999999999998,24.099999999999998,100.0,14.2,10.4,12.5,14.099999999999998,18.2,14.6,26.5,17.4,12.5,16.7,100.0,24.4,25.6,14.2,10.4
샘플 부개역치과 임플란트로 만족감을 높이고.txt,27.0,2.6,23.1,33.7,30.5,15.8,23.1,100.0,11.3,23.799999999999997,46.400000000000006,14.000000000000002,25.8,24.4,27.500000000000004,15.0,26.5,14.000000000000002,30.5,11.3,46.400000000000006,23.799999999999997,26.5,15.8,24.4,100.0,33.7,27.500000000000004,15.0
샘플 부개역치과 전악임플란트 10년 이상 한 자리를 지켜온 곳.txt,26.1,2.1999999999999997,17.599999999999998,100.0,18.9,18.5,17.599999999999998,33.7,10.9,18.3,32.4,13.5,35.3,25.6,18.4,14.000000000000002,19.1,13.5,18.9,10.9,32.4,18.3,19.1,18.5,25.6,33.7,100.0,18.4,14.000000000000002
샘플 부개역치과 치주염환자 엑스레이 이렇게 달라요 잇몸무너짐.txt,11.0,3.3000000000000003,16.900000000000002,18.4,20.0,16.900000000000002,16.900000000000002,27.500000000000004,11.5,27.3,20.4,11.899999999999999,15.0,14.2,100.0,13.700000000000001,26.700000000000003,11.899999999999999,20.0,11.5,20.4,27.3,26.700000000000003,16.900000000000002,14.2,27.500000000000004,18.4,100.0,13.700000000000001
샘플 안녕하세요 보건복지부 인증 교정과 전문의 대표 원장님께서 상주하고 있는 바른이예쁜이치과입니다.txt,15.299999999999999,1.9,28.4,14.000000000000002,11.899999999999999,20.1,28.4,15.0,10.100000000000001,16.0,13.5,10.2,14.2,10.4,13.700000000000001,100.0,13.4,10.2,11.899999999999999,10.100000000000001,13.5,16.0,13.4,20.1,10.4,15.0,14.000000000000002,13.700000000000001,100.0
